EXIO3,year,Country Area,Land Use,Pourcentage
MT,1971,320.0,142.689999,44.590624687500004
MX,1971,1943950.0,1715958.0,88.27171480747961
NL,1971,33760.0,24395.239501,72.26078051244076
NO,1971,365244.0,131233.257832,35.93029805609401
PL,1971,306290.0,287109.671067,93.73785336347906
PT,1971,91500.0,73137.16052,79.93132297267759
RO,1971,230340.0,210692.950254,91.47041341234696
SE,1971,407339.7,312557.295354,76.7313609142443
TR,1971,769630.0,597749.00375,77.66706128269428
TW,1971,35410.0,9029.999844,25.501270386896355
US,1971,9158960.0,7405666.0,80.85706237389398
WA,1971,7292138.74,5464699.0,74.93959172806413
WE,1971,130315.25,40737.189362,31.26049281415644
WF,1971,23963525.0,14229570.0,59.380120412168075
WL,1971,10213223.61,7421793.0,72.66846671929471
WM,1971,6459790.0,2106517.0,32.609682358095235
ZA,1971,1213090.0,1134816.0,93.54755211896891
AT,1972,82520.0,67728.908026,82.07574894086282
AU,1972,7682300.0,6045149.0,78.68931179464484
BE,1972,30025.0,21287.509821,70.89928333388843
BG,1972,110630.0,93015.763408,84.078245871825
BR,1972,8358140.0,7636931.0,91.3711782765065
CA,1972,8965590.0,4087409.0,45.58996117377663
CH,1972,39528.0,28106.70078,71.10580039465694
CN,1972,9424700.0,6580540.0,69.8222755100958
CY,1972,9240.0,4826.040093,52.229871136363634
DE,1972,349130.0,292938.715667,83.90534060865579
DK,1972,40000.0,34429.959977,86.0748999425
ES,1972,499780.0,471198.20375,94.28112444475569
FI,1972,304590.0,246030.406668,80.77428893529006
FR,1972,547566.0,465353.111211,84.98575718927033
GB,1972,241930.0,213776.05461,88.36277212830157
GR,1972,128900.0,128638.766914,99.7973366283941
HU,1972,89970.0,83288.219699,92.57332410692452
ID,1972,1811570.0,1454092.0,80.26695076646224
IE,1972,68890.0,53945.598955,78.30686450137902
IN,1972,2973190.0,2476642.0,83.29915007113571
IT,1972,294110.0,243992.09334,82.95946868178572
JP,1972,366600.0,302984.140911,82.64706516939445
KR,1972,96460.0,82758.62819,85.79579949201742
LU,1972,2574.46,2116.530061,82.21258287174786
MT,1972,320.0,142.689999,44.590624687500004
MX,1972,1943950.0,1716826.0,88.31636616168112
NL,1972,33760.0,24282.479901,71.92677695793839
NO,1972,365244.0,131171.500111,35.913389435829195
PL,1972,306290.0,285739.668201,93.2905639103464
PT,1972,91500.0,73151.921799,79.94745551803278
RO,1972,230340.0,210725.669786,91.48461829729966
SE,1972,407339.7,312548.166748,76.72911988396908
TR,1972,769630.0,599660.228984,77.91539167963828
TW,1972,35410.0,8989.98998,25.388280090369953
US,1972,9158960.0,7389431.0,80.67980425725192
WA,1972,7292138.74,5472855.0,75.051438201243
WE,1972,130315.25,40538.341273,31.10790277653613
WF,1972,23963525.0,14234370.0,59.40015085426706
WL,1972,10213223.61,7417415.0,72.62560072353101
WM,1972,6459790.0,2119003.0,32.80297037519796
ZA,1972,1213090.0,1133443.8625,93.43444117913758
AT,1973,82520.0,67547.879092,81.85637311197286
AU,1973,7682300.0,6032293.0,78.5219660778673
BE,1973,30035.62,21264.869983,70.79883812286879
BG,1973,110630.0,92868.721601,83.94533273162794
BR,1973,8358140.0,7637809.6075,91.38169027439119
CA,1973,8965590.0,4087472.0,45.590663860381746
CH,1973,39528.0,28073.241435,71.0211531952034
CN,1973,9424700.0,6596254.9925,69.98901813850838
CY,1973,9240.0,4827.640043,52.24718661255412
DE,1973,349130.0,292747.627435,83.8506079211182
DK,1973,40000.0,34639.969957,86.59992489250001
ES,1973,499780.0,470080.931133,94.05757155808557
FI,1973,304590.0,246023.077679,80.77188275353754
FR,1973,547566.0,465113.762266,84.94204575631065
GB,1973,241930.0,213343.342031,88.18391354152027
GR,1973,128900.0,128468.770078,99.66545390069821
HU,1973,89970.0,83220.009951,92.49751022674225
ID,1973,1811570.0,1454192.0,80.27247084021043
IE,1973,68890.0,54060.296709,78.47335855566845
IN,1973,2973190.0,2480241.9775,83.42023138447257
IT,1973,294110.0,243864.999229,82.91625556050458
JP,1973,366600.0,302959.063125,82.6402245294599
KR,1973,96460.0,82759.281561,85.79647684117768
LU,1973,2574.46,2117.600008,82.25414292706043
MT,1973,320.0,142.689999,44.590624687500004
MX,1973,1943950.0,1717567.0,88.35448442603976
NL,1973,33760.0,24177.829268,71.61679285545024
NO,1973,365244.0,131153.890533,35.908568116930056
PL,1973,306290.0,285289.665413,93.14364341408469
PT,1973,91500.0,73164.261883,79.96094194863387
RO,1973,230340.0,210566.560469,91.41554244551533
SE,1973,407339.7,312542.087186,76.72762737980118
TR,1973,769630.0,599512.899297,77.8962487555059
TW,1973,35410.0,8959.999844,25.303586116916126
US,1973,9158960.0,7374913.0,80.52129281053745
WA,1973,7292108.74,5486232.0,75.23519184383419
WE,1973,130315.25,40335.750529,30.952440738133102
WF,1973,23963485.0,14227060.0,59.36974526034089
WL,1973,10213223.61,7414992.0,72.60187657831963
WM,1973,6459790.0,2129850.0,32.97088605047532
ZA,1973,1213090.0,1132016.53,93.31678028835454
AT,1974,82520.0,67517.198435,81.8191934500727
AU,1974,7682300.0,6048790.0,78.73670645509809
BE,1974,30046.24,21242.210059,70.69839706732024
BG,1974,110630.0,93075.119004,84.13189822290518
BR,1974,8358140.0,7638765.0,91.39312095753361
CA,1974,8965590.0,4087535.0,45.59136654698687
CH,1974,39528.0,28050.590013,70.96384844414087
CN,1974,9424700.0,6615653.745,70.19484699778242
CY,1974,9240.0,4021.349976,43.521103636363634
DE,1974,349130.0,292470.209585,83.77114816400768
DK,1974,40000.0,34263.42074,85.65855185
ES,1974,499750.0,469289.26875,93.90480615307654
FI,1974,304590.0,246028.469129,80.77365282149775
FR,1974,547566.0,465035.587422,84.92776896702864
GB,1974,241930.0,212926.322188,88.01154143264581
GR,1974,128900.0,128448.770352,99.6499382094647
HU,1974,89970.0,82893.340608,92.13442326108704
ID,1974,1811570.0,1454290.0,80.27788051248365
IE,1974,68890.0,54113.798359,78.55102098853244
IN,1974,2973190.0,2482634.0,83.50068445003515
IT,1974,294110.0,243962.748906,82.94949131481418
JP,1974,366600.0,302936.376501,82.63403614320785
KR,1974,96460.0,82757.3385,85.79446247149077
LU,1974,2574.46,2118.66005,82.29531824149531
MT,1974,320.0,142.689999,44.590624687500004
MX,1974,1943950.0,1718444.0,88.39959875511201
NL,1974,33760.0,24110.07001,71.41608415284361
NO,1974,365244.0,131145.093771,35.90615965518941
PL,1974,306290.0,284599.66175,92.91836551960562
PT,1974,91500.0,73176.63939,79.97446927868852
RO,1974,230340.0,210668.431641,91.45976888121906
SE,1974,407339.7,312548.441033,76.72918721965966
TR,1974,769630.0,597800.603828,77.67376581318297
TW,1974,35410.0,9169.999844,25.89663892685682
US,1974,9158960.0,7359185.0,80.34957025688506
WA,1974,7292068.74,5485839.0,75.23021512273895
WE,1974,130315.25,40141.369272,30.803278412925582
WF,1974,23963085.0,14224390.0,59.359594142406955
WL,1974,10213223.61,7415825.0,72.61003267116367
WM,1974,6459790.0,2125652.0,32.90589941778293
ZA,1974,1213090.0,1130715.0,93.20948981526514
AT,1975,82520.0,67480.961812,81.77528091614154
AU,1975,7682300.0,6043349.935,78.66589348242063
BE,1975,30056.86,21219.570199,70.59809374299245
BG,1975,110630.0,92770.599131,83.85663846244238
BR,1975,8358140.0,7639798.0,91.40548016663995
CA,1975,8965590.0,4087598.0,45.59206923359199
CH,1975,39528.0,28037.160084,70.92987270795385
CN,1975,9424690.0,6629595.0,70.34284416781878
CY,1975,9240.0,3319.48998,35.92521623376623
DE,1975,349130.0,292364.968271,83.74100428808754
DK,1975,40000.0,34297.989774,85.744974435
ES,1975,499630.0,468613.670664,93.7921403166343
FI,1975,304590.0,246030.437858,80.77429917528481
FR,1975,547566.0,464667.465898,84.8605402632742
GB,1975,241930.0,212532.018711,87.84855896788328
GR,1975,128900.0,128218.769336,99.47150452754072
HU,1975,89970.0,82819.837933,92.05272638990775
ID,1975,1811570.0,1454437.0,80.28599502089348
IE,1975,68890.0,54009.328208,78.39937321527071
IN,1975,2973190.0,2484499.0,83.56341168912851
IT,1975,294110.0,244036.140878,82.97444523409608
JP,1975,366500.0,302827.843628,82.62696961200547
KR,1975,96460.0,82759.940675,85.79716014410118
LU,1975,2574.46,2119.740069,82.3372695244828
MT,1975,320.0,132.929997,41.540624062499994
MX,1975,1943950.0,1718663.0,88.410864476967
