ISO3,Item Code,Item,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
LVA,889,"Whole milk, condensed",t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,6900.0,8000.0,7200.0,12290.0,15117.0,13820.0,5180.0,4175.0,2270.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,2200.0,2000.0,2000.0,2200.0,2200.0,2200.0,2366.89,2417.12,2427.74,2630.31,2282.91,2336.01,2028.43,2014.84
LVA,894,"Whole milk, evaporated",t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,4200.0,2800.0,3500.0,2625.0,3150.0,2758.0,900.2,442.05,455.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,280.0,350.0,350.0,350.0,396.32,405.14,408.17,441.17,383.12,407.36,413.43,410.66
LVA,891,Yoghurt,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23655.0,23655.0,23655.0,23655.0,23655.0,23655.0,23655.0,23655.0,23655.0,23654.99,23655.01,23655.0,23654.97,23655.05,23654.98,23654.89,23655.26,23654.8,23654.61,23656.37,23653.42,23654.05,23661.65,23644.57,23655.93,23684.44,23593.33,23690.0,23770.0,23320.0
LVA,1811,Butter and Ghee,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31757.0,18800.0,9700.0,6400.0,7529.0,7838.0,9231.0,7388.0,7200.0,7109.0,7300.0,6460.0,6950.0,5970.0,5780.0,6390.0,4270.0,4470.0,5180.0,4340.0,4900.0,5520.0,6930.0,6900.0,7200.0,4700.0,3100.0,3260.0,3360.0,3100.0
LVA,1745,Cheese (All Kinds),t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,12600.0,10500.0,9800.0,9685.0,11510.0,10985.0,11209.0,11080.0,13224.0,12600.0,15900.0,18900.0,21010.0,21670.0,22270.0,22550.0,26826.0,31400.0,29600.0,31700.0,33010.0,44218.0,38425.0,47663.0,54816.0,48750.0,51134.0,58630.0,62300.0
LVA,1816,Evaporated & Condensed Milk,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11750.0,11350.0,11175.0,11075.0,15165.0,18517.0,16828.0,6330.0,4867.0,3125.0,2700.0,2700.0,2700.0,2700.0,2700.0,3825.0,3100.0,2900.0,2655.0,2925.0,2925.0,2925.0,10763.0,9822.0,15436.0,18271.0,15891.0,20184.0,46442.0,42588.0
LVA,1809,"Skim Milk & Buttermilk, Dry",t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10080.0,9000.0,6030.0,6300.0,6300.0,4500.0,4500.0,3150.0,4500.0,3600.0,4500.0,4500.0,2726.0,2100.0,2000.0,4000.0,2000.0,4000.0,3800.0,3800.0,4072.0,7372.0,12654.0,8092.0,6842.0,5868.0,5124.0,7479.0,4275.0,3061.0
LBN,1021,"Cheese from milk of goats, fresh or processed",t,1200.0,1356.0,1590.0,1686.0,1614.0,1650.0,1668.48,1380.0,1320.0,1260.0,1200.0,1170.0,1071.0,1080.0,864.0,648.0,540.0,900.0,1500.0,2359.44,2400.0,2340.0,2100.0,1860.0,1632.0,1350.0,1058.58,1094.04,1154.94,1500.0,1899.42,2010.0,1980.0,1920.0,1950.0,2197.14,1913.04,1738.8,1592.4,1614.0,1638.0,1761.9,2192.4,2163.72,2358.0,1560.0,2040.0,2100.0,1302.0,651.96,839.28,832.74,808.8,1080.0,1110.0,1937.76,1975.44,1674.4,1719.77,1733.44,1743.11
LBN,984,"Cheese from milk of sheep, fresh or processed",t,680.0,1020.0,1180.0,1410.0,1350.0,1080.0,1037.5,997.1,1030.0,1040.0,1050.0,1100.0,1066.2,1100.0,880.0,660.0,450.0,850.0,1100.0,1463.5,1500.0,1470.0,1400.0,1350.0,1300.0,1150.0,1057.9,1083.6,1182.4,1250.0,1701.3,1850.0,1950.0,2200.0,2500.0,3059.9,2203.1,2120.0,2339.0,2280.0,2220.0,2212.8,2335.0,2163.0,2280.0,1970.0,2470.0,2000.0,1480.0,461.03,405.0,405.0,810.0,1300.0,1200.0,1909.7,2024.6,1711.43,1881.91,1872.65,1822.0
LBN,901,Cheese from whole cow milk,t,3091.29,3369.44,3826.84,4912.06,5081.59,4966.84,4336.48,4634.37,4728.92,5126.49,5049.46,5126.57,4534.61,5041.35,4421.7,3825.0,3442.5,4590.0,5745.15,6912.92,6934.73,6751.13,5921.1,5508.0,4896.0,4850.1,4826.16,4837.17,4987.42,7122.15,9638.54,10036.8,10457.55,11253.15,11650.95,12059.84,10861.55,11115.6,11562.21,12176.89,12806.86,14826.31,14080.3,13469.21,13718.18,12128.53,13504.1,17762.66,12452.29,14268.79,19399.73,19106.95,23307.33,22827.51,20538.32,18510.78,17801.23,21907.05,22288.83,20390.87,21362.79
