EXIO3,EXIOBASE product code,ISO3,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
AU,p01.k,AUS,179492.0,182478.0,175388.0,177875.0,190314.0,193051.0,201260.0,214321.0,217804.0,229697.0,242899.0,250600.0,240276.0,235120.0,245889.0,244174.0,239650.0,249662.0,243353.0,242060.0,252970.0,247936.0,254236.0,245045.0,231362.0,231362.0,233850.0,228875.0,232606.0,233850.0,199643.0,174019.0,176383.0,176507.0,171905.0,168795.0,172029.0,184095.0,185339.0,177875.0,175388.0,173522.0,162202.0,164193.0,172402.0,213077.0,201136.0,199021.0,198186.0,216436.0,255245.0,267044.0,299683.0,288191.0,285195.0,294380.0,307960.0,322076.0,317846.0,300143.0,334776.0
AU,p01.n,AUS,5224366.0,5630530.0,5725412.0,5837774.0,5932656.0,6054172.0,6259752.0,5841936.0,5976768.0,6455342.0,6220634.0,6074148.0,5965948.0,5764532.0,5574766.0,5361696.0,4953868.0,4710836.0,4846500.0,4631766.0,4499430.0,4520238.0,4739966.0,5082874.0,5181086.0,5181086.0,5295944.0,5259324.0,5396654.0,5373348.0,5494032.0,5777016.0,6287218.0,6930588.0,7041284.0,7479076.0,7753736.0,7856108.0,8471180.0,9027992.0,8778300.0,9380888.0,8596026.0,8386286.0,8428734.0,8397106.0,7975960.0,7676332.0,7813662.0,7509870.0,7574790.0,7890344.0,7925190.0,7941836.0,7897724.0,8057448.0,7503860.0,7731264.0,7361720.0,7573126.0,7546492.0
BE,0,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38440074.0,37079981.0,38505864.0,37447271.0,38922283.0,36788464.0,36450907.0,37315057.0,35860969.0,36715618.0,38146558.0,38366767.0,36483327.0,37939020.0,40202213.0,39871394.0,38288564.0,40308104.0,35152457.0,36049403.0,36168871.0,36666625.0
BE,p01.b,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399699.0,345157.0,396691.0,388489.0,453099.0,418814.0,393603.0,373563.0,438233.0,452292.0,438038.0,399711.0,434495.0,427136.0,472383.0,478243.0,331581.0,403257.0,0.0,0.0,0.0,0.0
BE,p01.c,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162867.0,177632.0,190255.0,181790.0,201764.0,201526.0,202135.0,226108.0,250459.0,266249.0,236111.0,248632.0,222810.0,257127.0,232102.0,226851.0,175876.0,210687.0,0.0,0.0,0.0,0.0
BE,p01.d,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1870156.0,1634464.0,1807456.0,1741344.0,1981225.0,1830995.0,1821159.0,1993872.0,1849465.0,2001727.0,2088664.0,2180181.0,1859295.0,2050544.0,2389761.0,2041690.0,1976501.0,2177172.0,0.0,0.0,0.0,0.0
BE,p01.e,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12830.0,13598.0,14466.0,13480.0,15896.0,15554.0,20373.0,23210.0,19281.0,22666.0,25046.0,26914.0,26131.0,31710.0,30415.0,27185.0,22292.0,26244.0,0.0,0.0,0.0,0.0
BE,p01.f,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289829.0,264478.0,307971.0,303853.0,292837.0,281875.0,266962.0,270744.0,222078.0,244328.0,210342.0,254824.0,256210.0,226572.0,225696.0,213535.0,189440.0,279925.0,0.0,0.0,0.0,0.0
BE,p01.h,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520116.0,428334.0,432746.0,493002.0,545694.0,492983.0,269749.0,274443.0,301648.0,336500.0,279361.0,255665.0,166148.0,192047.0,220717.0,248947.0,213958.0,233053.0,0.0,0.0,0.0,0.0
BE,p01.k,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241562.0,264388.0,244174.0,241687.0,257608.0,223663.0,241314.0,216685.0,200763.0,189804.0,210103.0,211121.0,190955.0,215851.0,188909.0,184126.0,192304.0,172054.0,0.0,0.0,0.0,0.0
BE,p01.l,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,152.0,456.0,410.0,608.0,304.0,486.0,514.0,534.0,608.0,1064.0,456.0,690.0,738.0,734.0,756.0,777.0,760.0,0.0,0.0,0.0,0.0
BE,p01.n,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072584.0,3077564.0,2890784.0,2835250.0,2551632.0,2522547.0,2367535.0,2401787.0,2377596.0,2466434.0,2560178.0,2589332.0,2565337.0,2899914.0,3081862.0,3336615.0,3253758.0,3380608.0,1764619.0,1806783.0,1875492.0,1866664.0
BG,0,BGR,21872315.0,24178396.0,25006749.0,25816218.0,27212859.0,30570843.0,29821839.0,30567121.0,31290499.0,30361162.0,30928392.0,32368262.0,32806063.0,31528880.0,32043233.0,35103978.0,32390691.0,34112630.0,35167177.0,33686507.0,36632005.0,38765247.0,35171286.0,38311190.0,32918830.0,36794541.0,34998032.0,35163464.0,36745640.0,34118863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22209148.0,22414919.0,20641051.0,17244675.0,18495817.0,16601051.0,20017881.0,16187339.0,17244560.0,13923385.0,18367754.0,17181073.0,18874588.0,18963513.0,17307727.0,21221499.0,20582275.0,20071342.0,20875684.0,21724387.0,21044397.0,21464625.0,18017757.0,21905990.0
BG,n.a.,BGR,21481.0,43987.0,35829.0,38802.0,34273.0,61782.0,50076.0,27974.0,36546.0,32446.0,36056.0,44515.0,34167.0,33593.0,28452.0,2986.0,11791.0,14332.0,15774.0,10579.0,11466.0,18065.0,15351.0,13070.0,12714.0,16322.0,17798.0,11678.0,11559.0,7107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441.0,9022.0,5835.0,9009.0,8681.0,3750.0,2331.0,1158.0,951.0,755.0,625.0,439.0,799.0,373.0,227.0,214.0,294.0,1404.0,3830.0,3949.0,0.0,0.0,0.0,0.0
BG,p01.a,BGR,14270.0,15266.0,16548.0,12303.0,13097.0,18911.0,22338.0,15224.0,22743.0,25877.0,26197.0,23579.0,24206.0,22670.0,26475.0,16117.0,26489.0,23900.0,28699.0,26351.0,28749.0,29287.0,29060.0,23899.0,21341.0,24405.0,20724.0,17816.0,16708.0,9850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4019.0,2737.0,6564.0,7315.0,7022.0,9252.0,10995.0,7885.0,7825.0,11957.0,15113.0,16988.0,22460.0,23315.0,21468.0,21947.0,21178.0,26469.0,25331.0,22887.0,0.0,0.0,0.0,0.0
BG,p01.b,BGR,483040.0,494900.0,448621.0,502209.0,692259.0,756285.0,770686.0,603729.0,608349.0,718004.0,732883.0,848241.0,771629.0,718563.0,709577.0,831474.0,801485.0,820906.0,794510.0,910986.0,1052181.0,1163450.0,854585.0,1145213.0,726482.0,1024666.0,982528.0,1123320.0,1284813.0,1253363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758654.0,625937.0,658684.0,965677.0,976397.0,474594.0,938129.0,823713.0,781987.0,566170.0,1097050.0,941841.0,969726.0,1055908.0,1055106.0,1303739.0,1266352.0,1186900.0,1341106.0,1452405.0,0.0,0.0,0.0,0.0
BG,p01.c,BGR,462624.0,466814.0,514543.0,617351.0,473282.0,712137.0,638896.0,536731.0,687998.0,734028.0,777368.0,896683.0,796674.0,710386.0,925506.0,984375.0,820058.0,798825.0,967410.0,743407.0,784223.0,995596.0,850223.0,869457.0,453060.0,820683.0,615736.0,606546.0,811315.0,564078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432310.0,513908.0,317108.0,393485.0,521475.0,355792.0,689647.0,465910.0,440540.0,288527.0,465127.0,441778.0,594517.0,599491.0,494813.0,718632.0,825353.0,697494.0,603405.0,656381.0,0.0,0.0,0.0,0.0
BG,p01.d,BGR,2086439.0,2375321.0,2593875.0,2441473.0,2616695.0,2844775.0,2640911.0,2974028.0,3028708.0,2751709.0,2687884.0,2600519.0,2854135.0,2695325.0,2464600.0,2756398.0,2427096.0,2710375.0,2581050.0,2452929.0,2801648.0,2829019.0,2499402.0,2761400.0,2409435.0,2527798.0,2446020.0,2447066.0,2444869.0,2293651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1471649.0,1415789.0,1325406.0,1131143.0,1067400.0,1228719.0,1028047.0,657530.0,841652.0,751739.0,724590.0,609428.0,626087.0,647208.0,556343.0,737189.0,490216.0,696366.0,717429.0,778270.0,0.0,0.0,0.0,0.0
